2023-06-19 14:42:25.899 [background-preinit] INFO  org.hibernate.validator.internal.util.Version:21 - HV000001: Hibernate Validator 6.1.6.Final
2023-06-19 14:42:25.907 [main] INFO  com.shiyi.BlogApplication:55 - Starting BlogApplication using Java 1.8.0_301 on DESKTOP-TUKL56E with PID 8644 (C:\Users\Administrator\Desktop\product\blog\target\classes started by Administrator in C:\Users\Administrator\Desktop\product)
2023-06-19 14:42:25.907 [main] INFO  com.shiyi.BlogApplication:660 - No active profile set, falling back to default profiles: default
2023-06-19 14:42:27.325 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:250 - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-06-19 14:42:27.327 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:128 - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2023-06-19 14:42:27.382 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:188 - Finished Spring Data repository scanning in 48 ms. Found 0 Elasticsearch repository interfaces.
2023-06-19 14:42:27.386 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:250 - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-06-19 14:42:27.387 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:128 - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2023-06-19 14:42:27.417 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:188 - Finished Spring Data repository scanning in 28 ms. Found 0 Reactive Elasticsearch repository interfaces.
2023-06-19 14:42:27.434 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:250 - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-06-19 14:42:27.437 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:128 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-19 14:42:27.500 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:188 - Finished Spring Data repository scanning in 45 ms. Found 0 Redis repository interfaces.
2023-06-19 14:42:27.758 [main] INFO  c.u.j.c.EnableEncryptablePropertiesBeanFactoryPostProcessor:50 - Post-processing PropertySource instances
2023-06-19 14:42:27.810 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2023-06-19 14:42:27.810 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource servletConfigInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
2023-06-19 14:42:27.810 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource servletContextInitParams [org.springframework.core.env.PropertySource$StubPropertySource] to EncryptablePropertySourceWrapper
2023-06-19 14:42:27.813 [main] INFO  c.u.j.EncryptablePropertySourceConverter:38 - Converting PropertySource systemProperties [org.springframework.core.env.PropertiesPropertySource] to EncryptableMapPropertySourceWrapper
