2023/05/16-00:00:40 ---- [http-nio-8089-exec-7] INFO  com.love.product.service.impl.PostsServiceImpl- PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=男, followNum=null, fansNum=null), collect=false, follow=false, like=null)
2023/05/16-00:00:42 ---- [http-nio-8089-exec-10] INFO  com.love.product.service.impl.HistoryServiceImpl- 之前浏览过History(postsId=25, userId=1611899504066359297)
2023/05/16-00:00:42 ---- [http-nio-8089-exec-10] INFO  com.love.product.service.impl.HistoryServiceImpl- 浏览更新时间History(postsId=25, userId=1611899504066359297)
2023/05/16-00:00:44 ---- [http-nio-8089-exec-6] INFO  com.love.product.service.impl.FollowServiceImpl- follows:[Follow(userId=1611899504066359297, beFollowedUserId=1613844709376036866, status=1), Follow(userId=1611899504066359297, beFollowedUserId=1654848148980322306, status=0)]
2023/05/16-00:00:44 ---- [http-nio-8089-exec-6] INFO  com.love.product.service.impl.PostsServiceImpl- 已关注的用户id:[1613844709376036866, 1654848148980322306]
2023/05/16-00:00:44 ---- [http-nio-8089-exec-6] INFO  com.love.product.service.impl.PostsServiceImpl- ResultPage(super=Result(code=200, msg=操作成功, data=[PostsVO(schoolName=官塘校区, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=官塘校区, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=官塘校区, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=官塘校区, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=社湾校区, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=, userInfo=null, collect=null, follow=null, like=null), PostsVO(schoolName=, userInfo=null, collect=null, follow=null, like=null)], refreshTokenFlag=false, refreshToken=null), currentPage=1, pageSize=25, pageTotal=1, dataTotal=10)
2023/05/16-00:00:47 ---- [http-nio-8089-exec-9] INFO  com.love.product.service.impl.FollowServiceImpl- follows:[Follow(userId=1611899504066359297, beFollowedUserId=1613844709376036866, status=1), Follow(userId=1611899504066359297, beFollowedUserId=1654848148980322306, status=0)]
2023/05/16-00:00:47 ---- [http-nio-8089-exec-9] INFO  com.love.product.service.impl.PostsServiceImpl- 已关注的用户id:[1613844709376036866, 1654848148980322306]
2023/05/16-00:00:47 ---- [http-nio-8089-exec-9] INFO  com.love.product.service.impl.PostsServiceImpl- ResultPage(super=Result(code=200, msg=操作成功, data=[PostsVO(schoolName=官塘校区, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=true), PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false), PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false), PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false), PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false), PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false), PostsVO(schoolName=, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false), PostsVO(schoolName=官塘校区, userInfo=UserInfoVO(accessToken=null, genderText=null, followNum=null, fansNum=null), collect=null, follow=null, like=false)], refreshTokenFlag=false, refreshToken=null), currentPage=1, pageSize=10, pageTotal=1, dataTotal=8)
2023/05/16-00:01:51 ---- [http-nio-8089-exec-8] INFO  com.love.product.service.impl.FollowServiceImpl- follows:[Follow(userId=1611899504066359297, beFollowedUserId=1613844709376036866, status=1), Follow(userId=1611899504066359297, beFollowedUserId=1654848148980322306, status=0)]
2023/05/16-00:01:51 ---- [http-nio-8089-exec-8] INFO  com.love.product.service.impl.PostsServiceImpl- 已关注的用户id:[1613844709376036866, 1654848148980322306]
